product_id,category,month,quantity_sold,price_per_unit,revenue
1,Home,2024-01,66,128.1,8454.6
1,Home,2024-02,208,128.1,26644.8
1,Home,2024-03,410,128.1,52521
1,Home,2024-04,341,128.1,43682.1
1,Home,2024-05,24,128.1,3074.4
1,Home,2024-06,33,128.1,4227.3
1,Home,2024-07,321,128.1,41120.1
1,Home,2024-08,198,128.1,25363.8
1,Home,2024-09,49,128.1,6276.9
1,Home,2024-10,143,128.1,18318.3
1,Home,2024-11,16,128.1,2049.6
1,Home,2024-12,51,128.1,6533.1
1,Home,2025-01,26,128.1,3330.6
1,Home,2025-02,90,128.1,11529
1,Home,2025-03,184,128.1,23570.4
1,Home,2025-04,98,128.1,12553.8
1,Home,2025-05,185,128.1,23698.5
1,Home,2025-06,129,128.1,16524.9
1,Home,2025-07,250,128.1,32025
1,Home,2025-08,352,128.1,45091.2
1,Home,2025-09,390,128.1,49959
1,Home,2025-10,339,128.1,43425.9
1,Home,2025-11,341,128.1,43682.1
1,Home,2025-12,57,128.1,7301.7
2,Sports,2024-01,67,344.8,23101.6
2,Sports,2024-02,41,344.8,14136.8
2,Sports,2024-03,377,344.8,129989.6
2,Sports,2024-04,195,344.8,67236
2,Sports,2024-05,489,344.8,168607.2
2,Sports,2024-06,226,344.8,77924.8
2,Sports,2024-07,78,344.8,26894.4
2,Sports,2024-08,132,344.8,45513.6
2,Sports,2024-09,244,344.8,84131.2
2,Sports,2024-10,52,344.8,17929.6
2,Sports,2024-11,48,344.8,16550.4
2,Sports,2024-12,101,344.8,34824.8
2,Sports,2025-01,74,344.8,25515.2
2,Sports,2025-02,25,344.8,8620
2,Sports,2025-03,36,344.8,12412.8
2,Sports,2025-04,159,344.8,54823.2
2,Sports,2025-05,93,344.8,32066.4
2,Sports,2025-06,198,344.8,68270.4
2,Sports,2025-07,93,344.8,32066.4
2,Sports,2025-08,497,344.8,171365.6
2,Sports,2025-09,205,344.8,70684
2,Sports,2025-10,305,344.8,105164
2,Sports,2025-11,191,344.8,65856.8
2,Sports,2025-12,298,344.8,102750.4
3,Grocery,2024-01,207,308.9,63942.3
3,Grocery,2024-02,246,308.9,75989.4
3,Grocery,2024-03,80,308.9,24712
3,Grocery,2024-04,486,308.9,150125.4
3,Grocery,2024-05,324,308.9,100083.6
3,Grocery,2024-06,298,308.9,92052.2
3,Grocery,2024-07,25,308.9,7722.5
3,Grocery,2024-08,198,308.9,61162.2
3,Grocery,2024-09,223,308.9,68884.7
3,Grocery,2024-10,143,308.9,44172.7
3,Grocery,2024-11,48,308.9,14827.2
3,Grocery,2024-12,90,308.9,27801
3,Grocery,2025-01,31,308.9,9575.9
3,Grocery,2025-02,123,308.9,37994.7
3,Grocery,2025-03,157,308.9,48497.3
3,Grocery,2025-04,92,308.9,28418.8
3,Grocery,2025-05,224,308.9,69193.6
3,Grocery,2025-06,360,308.9,111204
3,Grocery,2025-07,250,308.9,77225
3,Grocery,2025-08,472,308.9,145800.8
3,Grocery,2025-09,297,308.9,91743.3
3,Grocery,2025-10,158,308.9,48806.2
3,Grocery,2025-11,370,308.9,114293
3,Grocery,2025-12,91,308.9,28109.9
4,Sports,2024-01,31,418.27,12966.37
4,Sports,2024-02,91,418.27,38062.57
4,Sports,2024-03,310,418.27,129663.7
4,Sports,2024-04,341,418.27,142630.07
4,Sports,2024-05,304,418.27,127154.08
4,Sports,2024-06,262,418.27,109586.74
4,Sports,2024-07,259,418.27,108331.93
4,Sports,2024-08,341,418.27,142630.07
4,Sports,2024-09,122,418.27,51028.94
4,Sports,2024-10,192,418.27,80307.84
4,Sports,2024-11,83,418.27,34716.41
4,Sports,2024-12,5,418.27,2091.35
4,Sports,2025-01,72,418.27,30115.44
4,Sports,2025-02,43,418.27,17985.61
4,Sports,2025-03,94,418.27,39317.38
4,Sports,2025-04,188,418.27,78634.76
